time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,1.256718687e-12,7.540312125e-11,0,-262144,262144,1.292704317e+11,1.296397681e+11,101287576,28922.61328,2.590115103e+11
1,0,0,60,1,1.256718687e-12,7.540312125e-11,7.540312125e-11,-262144,262144,1.292708659e+11,1.296397189e+11,101130928,28819.77148,2.590117396e+11
1,1,0,120,2,1.256718687e-12,7.540312125e-11,1.508062425e-10,-262144,262144,1.292708905e+11,1.296396861e+11,102655376,28690.57227,2.590132634e+11
1,2,0,180,3,1.256718687e-12,7.540312125e-11,2.262093637e-10,-262144,262144,1.292709151e+11,1.296395715e+11,101845336,28985.06445,2.590123622e+11
1,3,0,240,4,1.256718687e-12,7.540312125e-11,3.01612485e-10,-262144,262144,1.292718981e+11,1.296396452e+11,103984848,29220.40234,2.590155571e+11
1,4,0,300,5,1.256718687e-12,7.540312125e-11,3.770156062e-10,-262144,262144,1.292725453e+11,1.29639596e+11,110121752,30090.6543,2.590222909e+11
1,5,0,360,6,1.256718687e-12,7.540312125e-11,4.524187275e-10,-262144,262144,1.292731515e+11,1.296395305e+11,119787456,30750.3125,2.590324982e+11
1,6,0,420,7,1.256718687e-12,7.540312125e-11,5.278218487e-10,-262144,262144,1.292737905e+11,1.296395141e+11,140080000,31220.18555,2.590534205e+11
1,7,0,480,8,1.256718687e-12,7.540312125e-11,6.0322497e-10,-262144,262144,1.292745687e+11,1.296394895e+11,171234272,31986.70312,2.590853202e+11
1,8,0,540,9,1.256718687e-12,7.540312125e-11,6.786280912e-10,-262144,262144,1.292754043e+11,1.296395223e+11,232760768,32884.20703,2.591477268e+11
1,9,0,600,10,1.256718687e-12,7.540312125e-11,7.540312125e-10,-262144,262144,1.292757729e+11,1.29639383e+11,329263904,33809.58984,2.59244458e+11
2,0,0,660,11,1.256718687e-12,7.540312125e-11,8.294343337e-10,-262144,262144,1.29276928e+11,1.296393585e+11,448713600,35085.17188,2.593650278e+11
2,1,0,720,12,1.256718687e-12,7.540312125e-11,9.04837455e-10,-262144,262144,1.292775506e+11,1.296393421e+11,598681600,35969.52734,2.595156132e+11
