time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,1.2567e-13,7.5403e-12,0,-262144,262144,1.2928e+11,1.2965e+11,1.0169e+08,28941,2.5903e+11
1,0,0,600,10,1.2567e-13,7.5403e-12,7.5403e-11,-262144,262144,1.2928e+11,1.2965e+11,1.0087e+08,28971,2.5903e+11
1,1,0,1200,20,1.2567e-13,7.5403e-12,1.5081e-10,-262144,262144,1.2928e+11,1.2965e+11,1.0196e+08,28842,2.5903e+11
1,2,0,1800,30,1.2567e-13,7.5403e-12,2.2621e-10,-262144,262144,1.2928e+11,1.2965e+11,1.0409e+08,29020,2.5903e+11
1,3,0,2400,40,1.2567e-13,7.5403e-12,3.0161e-10,-262144,262144,1.2928e+11,1.2965e+11,1.0491e+08,29026,2.5903e+11
1,4,0,3000,50,1.2567e-13,7.5403e-12,3.7702e-10,-262144,262144,1.2928e+11,1.2965e+11,1.1125e+08,29520,2.5904e+11
1,5,0,3600,60,1.2567e-13,7.5403e-12,4.5242e-10,-262144,262144,1.2928e+11,1.2965e+11,1.2243e+08,29681,2.5905e+11
1,6,0,4200,70,1.2567e-13,7.5403e-12,5.2782e-10,-262144,262144,1.2928e+11,1.2965e+11,1.4277e+08,29626,2.5907e+11
1,7,0,4800,80,1.2567e-13,7.5403e-12,6.0322e-10,-262144,262144,1.2927e+11,1.2965e+11,1.7509e+08,29741,2.591e+11
1,8,0,5400,90,1.2567e-13,7.5403e-12,6.7863e-10,-262144,262144,1.2927e+11,1.2965e+11,2.3698e+08,29859,2.5916e+11
1,9,0,6000,100,1.2567e-13,7.5403e-12,7.5403e-10,-262144,262144,1.2927e+11,1.2965e+11,3.3425e+08,30033,2.5925e+11
2,0,0,6600,110,1.2567e-13,7.5403e-12,8.2943e-10,-262144,262144,1.2927e+11,1.2965e+11,4.5136e+08,30403,2.5937e+11
2,1,0,7200,120,1.2567e-13,7.5403e-12,9.0484e-10,-262144,262144,1.2926e+11,1.2965e+11,6.0602e+08,30518,2.5952e+11
2,2,0,7800,130,1.2567e-13,7.5403e-12,9.8024e-10,-262144,262144,1.2926e+11,1.2965e+11,8.2533e+08,30742,2.5973e+11
2,3,0,8400,140,1.2567e-13,7.5403e-12,1.0556e-09,-262144,262144,1.2926e+11,1.2965e+11,1.0624e+09,30820,2.5997e+11
2,4,0,9000,150,1.2567e-13,7.5403e-12,1.131e-09,-262144,262144,1.2925e+11,1.2965e+11,1.3564e+09,30916,2.6026e+11
2,5,0,9600,160,1.2567e-13,7.5403e-12,1.2064e-09,-262144,262144,1.2925e+11,1.2965e+11,1.7064e+09,31176,2.606e+11
2,6,0,10200,170,1.2567e-13,7.5403e-12,1.2819e-09,-262144,262144,1.2924e+11,1.2965e+11,2.1124e+09,31165,2.61e+11
2,7,0,10800,180,1.2567e-13,7.5403e-12,1.3573e-09,-262144,262144,1.2924e+11,1.2965e+11,2.5848e+09,31280,2.6147e+11
2,8,0,11400,190,1.2567e-13,7.5403e-12,1.4327e-09,-262144,262144,1.2923e+11,1.2965e+11,3.1575e+09,31595,2.6204e+11
2,9,0,12000,200,1.2567e-13,7.5403e-12,1.5081e-09,-262144,262144,1.2923e+11,1.2965e+11,3.7898e+09,31741,2.6266e+11
3,0,0,12600,210,1.2567e-13,7.5403e-12,1.5835e-09,-262144,262144,1.2922e+11,1.2965e+11,4.4957e+09,31851,2.6336e+11
3,1,0,13200,220,1.2567e-13,7.5403e-12,1.6589e-09,-262144,262144,1.2921e+11,1.2965e+11,5.271e+09,31947,2.6413e+11
3,2,0,13800,230,1.2567e-13,7.5403e-12,1.7343e-09,-262144,262144,1.2921e+11,1.2965e+11,6.1464e+09,32089,2.65e+11
3,3,0,14400,240,1.2567e-13,7.5403e-12,1.8097e-09,-262144,262144,1.292e+11,1.2965e+11,7.1153e+09,32500,2.6596e+11
3,4,0,15000,250,1.2567e-13,7.5403e-12,1.8851e-09,-262144,262144,1.2919e+11,1.2965e+11,8.1395e+09,32456,2.6698e+11
3,5,0,15600,260,1.2567e-13,7.5403e-12,1.9605e-09,-262144,262144,1.2919e+11,1.2965e+11,9.2679e+09,32616,2.681e+11
3,6,0,16200,270,1.2567e-13,7.5403e-12,2.0359e-09,-262144,262144,1.2918e+11,1.2965e+11,1.0512e+10,32647,2.6934e+11
3,7,0,16800,280,1.2567e-13,7.5403e-12,2.1113e-09,-262144,262144,1.2917e+11,1.2965e+11,1.1949e+10,32867,2.7077e+11
3,8,0,17400,290,1.2567e-13,7.5403e-12,2.1867e-09,-262144,262144,1.2916e+11,1.2965e+11,1.3434e+10,32857,2.7225e+11
3,9,0,18000,300,1.2567e-13,7.5403e-12,2.2621e-09,-262144,262144,1.2916e+11,1.2965e+11,1.5031e+10,32788,2.7384e+11
4,0,0,18600,310,1.2567e-13,7.5403e-12,2.3375e-09,-262144,262144,1.2915e+11,1.2965e+11,1.6777e+10,32922,2.7558e+11
4,1,0,19200,320,1.2567e-13,7.5403e-12,2.4129e-09,-262144,262144,1.2914e+11,1.2965e+11,1.861e+10,33209,2.774e+11
4,2,0,19800,330,1.2567e-13,7.5403e-12,2.4883e-09,-262144,262144,1.2913e+11,1.2965e+11,2.0548e+10,33467,2.7933e+11
4,3,0,20400,340,1.2567e-13,7.5403e-12,2.5637e-09,-262144,262144,1.2912e+11,1.2965e+11,2.2624e+10,33458,2.814e+11
4,4,0,21000,350,1.2567e-13,7.5403e-12,2.6391e-09,-262144,262144,1.2912e+11,1.2965e+11,2.4889e+10,33849,2.8365e+11
4,5,0,21600,360,1.2567e-13,7.5403e-12,2.7145e-09,-262144,262144,1.2911e+11,1.2965e+11,2.7225e+10,34122,2.8598e+11
4,6,0,22200,370,1.2567e-13,7.5403e-12,2.7899e-09,-262144,262144,1.291e+11,1.2965e+11,2.9724e+10,33891,2.8847e+11
