time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,1.256718687e-12,7.540312125e-11,0,-2097152,2097152,1.289778708e+11,1.288983757e+11,19534658,4111.383301,2.578957926e+11
1,0,0,60,1,1.256718687e-12,7.540312125e-11,7.540312125e-11,-2097152,2097152,1.28977879e+11,1.288983347e+11,19213628,4079.885498,2.578954322e+11
1,1,0,120,2,1.256718687e-12,7.540312125e-11,1.508062425e-10,-2097152,2097152,1.289776251e+11,1.288983511e+11,19947062,4103.075684,2.578959237e+11
1,2,0,180,3,1.256718687e-12,7.540312125e-11,2.262093637e-10,-2097152,2097152,1.289782395e+11,1.288983265e+11,21452112,4108.620117,2.578980209e+11
1,3,0,240,4,1.256718687e-12,7.540312125e-11,3.01612485e-10,-2097152,2097152,1.289779118e+11,1.288983265e+11,26417620,4076.183838,2.579026575e+11
1,4,0,300,5,1.256718687e-12,7.540312125e-11,3.770156062e-10,-2097152,2097152,1.289780675e+11,1.288983265e+11,37402124,4091.861328,2.579137987e+11
1,5,0,360,6,1.256718687e-12,7.540312125e-11,4.524187275e-10,-2097152,2097152,1.289778627e+11,1.288983593e+11,59259404,4084.2229,2.579354911e+11
1,6,0,420,7,1.256718687e-12,7.540312125e-11,5.278218487e-10,-2097152,2097152,1.289777316e+11,1.288983429e+11,90875464,4086.207275,2.579669484e+11
1,7,0,480,8,1.256718687e-12,7.540312125e-11,6.0322497e-10,-2097152,2097152,1.289776906e+11,1.288983429e+11,141150048,4085.8125,2.580171817e+11
1,8,0,540,9,1.256718687e-12,7.540312125e-11,6.786280912e-10,-2097152,2097152,1.28977281e+11,1.288983839e+11,214388880,4079.255371,2.580900741e+11
1,9,0,600,10,1.256718687e-12,7.540312125e-11,7.540312125e-10,-2097152,2097152,1.289772073e+11,1.288984003e+11,309779872,4053.431152,2.581853962e+11
2,0,0,660,11,1.256718687e-12,7.540312125e-11,8.294343337e-10,-2097152,2097152,1.289765683e+11,1.288984084e+11,436004608,4102.100098,2.58310996e+11
2,1,0,720,12,1.256718687e-12,7.540312125e-11,9.04837455e-10,-2097152,2097152,1.289764782e+11,1.288984166e+11,594386688,4074.657471,2.584692818e+11
2,2,0,780,13,1.256718687e-12,7.540312125e-11,9.802405762e-10,-2097152,2097152,1.289759949e+11,1.288984084e+11,797451456,4057.780029,2.586718536e+11
2,3,0,840,14,1.256718687e-12,7.540312125e-11,1.055643697e-09,-2097152,2097152,1.289757655e+11,1.288984084e+11,1044957120,4019.957764,2.589191209e+11
2,4,0,900,15,1.256718687e-12,7.540312125e-11,1.131046819e-09,-2097152,2097152,1.289751429e+11,1.288984412e+11,1346018944,4025.678955,2.592196035e+11
2,5,0,960,16,1.256718687e-12,7.540312125e-11,1.20644994e-09,-2097152,2097152,1.289746596e+11,1.288984658e+11,1701205120,4034.081543,2.595743334e+11
2,6,0,1020,17,1.256718687e-12,7.540312125e-11,1.281853061e-09,-2097152,2097152,1.2897425e+11,1.288985231e+11,2117868160,4056.716553,2.599906509e+11
2,7,0,1080,18,1.256718687e-12,7.540312125e-11,1.357256182e-09,-2097152,2097152,1.289735045e+11,1.288985068e+11,2596600576,4043.808838,2.604686049e+11
2,8,0,1140,19,1.256718687e-12,7.540312125e-11,1.432659304e-09,-2097152,2097152,1.289720463e+11,1.28898474e+11,3150065920,4058.180664,2.610205983e+11
2,9,0,1200,20,1.256718687e-12,7.540312125e-11,1.508062425e-09,-2097152,2097152,1.289538519e+11,1.288985723e+11,3784133376,4082.598633,2.616365548e+11
3,0,0,1260,21,1.256718687e-12,7.540312125e-11,1.583465546e-09,-2097152,2097152,1.288825242e+11,1.28898646e+11,4483489280,4170.138184,2.622646682e+11
3,1,0,1320,22,1.256718687e-12,7.540312125e-11,1.658868667e-09,-2097152,2097152,1.287230996e+11,1.288987771e+11,5263292416,4501.51709,2.628851794e+11
3,2,0,1380,23,1.256718687e-12,7.540312125e-11,1.734271789e-09,-2097152,2097152,1.284827218e+11,1.288991457e+11,6118396928,5146.547363,2.635002675e+11
3,3,0,1440,24,1.256718687e-12,7.540312125e-11,1.80967491e-09,-2097152,2097152,1.281594409e+11,1.288991457e+11,7063837184,6129.161133,2.641224335e+11
3,4,0,1500,25,1.256718687e-12,7.540312125e-11,1.885078031e-09,-2097152,2097152,1.277589586e+11,1.288995144e+11,8047267328,7244.591797,2.647057531e+11
3,5,0,1560,26,1.256718687e-12,7.540312125e-11,1.960481152e-09,-2097152,2097152,1.272991171e+11,1.289001615e+11,9105234944,8413.385742,2.653045228e+11
3,6,0,1620,27,1.256718687e-12,7.540312125e-11,2.035884274e-09,-2097152,2097152,1.267844301e+11,1.289006531e+11,1.021379584e+10,9399.008789,2.658988851e+11
3,7,0,1680,28,1.256718687e-12,7.540312125e-11,2.111287395e-09,-2097152,2097152,1.262216643e+11,1.289011692e+11,1.140731802e+10,9923.869141,2.665301606e+11
3,8,0,1740,29,1.256718687e-12,7.540312125e-11,2.186690516e-09,-2097152,2097152,1.25626327e+11,1.289018819e+11,1.262486118e+10,10079.34668,2.671530803e+11
3,9,0,1800,30,1.256718687e-12,7.540312125e-11,2.262093637e-09,-2097152,2097152,1.250051686e+11,1.289025536e+11,1.387948032e+10,9928.729492,2.67787223e+11
4,0,0,1860,31,1.256718687e-12,7.540312125e-11,2.337496759e-09,-2097152,2097152,1.243690516e+11,1.289032991e+11,1.515555533e+10,9509.551758,2.684279194e+11
4,1,0,1920,32,1.256718687e-12,7.540312125e-11,2.41289988e-09,-2097152,2097152,1.237283717e+11,1.289039135e+11,1.645579469e+10,8995.051758,2.690880963e+11
4,2,0,1980,33,1.256718687e-12,7.540312125e-11,2.488303001e-09,-2097152,2097152,1.230869135e+11,1.289041592e+11,1.774565376e+10,8558.457031,2.697367224e+11
4,3,0,2040,34,1.256718687e-12,7.540312125e-11,2.563706122e-09,-2097152,2097152,1.224492564e+11,1.289045524e+11,1.907506586e+10,8195.616211,2.704288809e+11
4,4,0,2100,35,1.256718687e-12,7.540312125e-11,2.639109244e-09,-2097152,2097152,1.218123694e+11,1.289055846e+11,2.039760282e+10,8026.032227,2.711155671e+11
4,5,0,2160,36,1.256718687e-12,7.540312125e-11,2.714512365e-09,-2097152,2097152,1.211859108e+11,1.28906879e+11,2.172517786e+10,8082.418457,2.718179656e+11
