time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,2.5134e-12,1.5081e-10,0,-262144,262144,1.2927e+11,1.2964e+11,1.0119e+08,28934,2.5901e+11
1,0,0,60,1,2.5134e-12,1.5081e-10,1.5081e-10,-262144,262144,1.2927e+11,1.2964e+11,1.006e+08,29009,2.5901e+11
1,1,0,120,2,2.5134e-12,1.5081e-10,3.0161e-10,-262144,262144,1.2927e+11,1.2964e+11,1.0244e+08,31501,2.5902e+11
1,2,0,180,3,2.5134e-12,1.5081e-10,4.5242e-10,-262144,262144,1.2928e+11,1.2964e+11,1.1509e+08,36947,2.5903e+11
1,3,0,240,4,2.5134e-12,1.5081e-10,6.0322e-10,-262144,262144,1.2928e+11,1.2964e+11,1.6407e+08,43207,2.5908e+11
1,4,0,300,5,2.5134e-12,1.5081e-10,7.5403e-10,-262144,262144,1.2925e+11,1.2964e+11,3.1744e+08,49509,2.5921e+11
1,5,0,360,6,2.5134e-12,1.5081e-10,9.0484e-10,-262144,262144,1.2914e+11,1.2964e+11,5.8552e+08,55147,2.5936e+11
1,6,0,420,7,2.5134e-12,1.5081e-10,1.0556e-09,-262144,262144,1.2889e+11,1.2964e+11,1.0221e+09,61691,2.5955e+11
1,7,0,480,8,2.5134e-12,1.5081e-10,1.2064e-09,-262144,262144,1.2853e+11,1.2964e+11,1.6269e+09,68632,2.5979e+11
1,8,0,540,9,2.5134e-12,1.5081e-10,1.3573e-09,-262144,262144,1.2807e+11,1.2964e+11,2.4283e+09,75494,2.6014e+11
1,9,0,600,10,2.5134e-12,1.5081e-10,1.5081e-09,-262144,262144,1.2749e+11,1.2964e+11,3.4674e+09,81890,2.606e+11
2,0,0,660,11,2.5134e-12,1.5081e-10,1.6589e-09,-262144,262144,1.2677e+11,1.2964e+11,4.6896e+09,87623,2.611e+11
