time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
36,5,0,21360,356,5.0269e-12,3.0161e-10,1.0737e-07,-1913032,2097152,8.5748e+10,1.5064e+11,4.6971e+10,2881,2.8336e+11
36,6,0,21420,357,5.0269e-12,3.0161e-10,1.0768e-07,-1912867,2097152,8.5228e+10,1.5073e+11,4.7827e+10,2659,2.8379e+11
36,7,0,21480,358,5.0269e-12,3.0161e-10,1.0798e-07,-1912691,2097152,8.4606e+10,1.5083e+11,4.8769e+10,2551.2,2.842e+11
36,8,0,21540,359,5.0269e-12,3.0161e-10,1.0828e-07,-1912525,2097152,8.3927e+10,1.5093e+11,4.9822e+10,2531.2,2.8468e+11
36,9,0,21600,360,5.0269e-12,3.0161e-10,1.0858e-07,-1912383,2097152,8.3264e+10,1.5104e+11,5.0795e+10,2587.6,2.8509e+11
37,0,0,21660,361,5.0269e-12,3.0161e-10,1.0888e-07,-1912232,2097152,8.2691e+10,1.5114e+11,5.1617e+10,2711.9,2.8545e+11
37,1,0,21720,362,5.0269e-12,3.0161e-10,1.0918e-07,-1912052,2097152,8.2262e+10,1.5126e+11,5.217e+10,2848.9,2.8569e+11
37,2,0,21780,363,5.0269e-12,3.0161e-10,1.0949e-07,-1911870,2097152,8.2013e+10,1.5137e+11,5.2354e+10,3000.5,2.8574e+11
37,3,0,21840,364,5.0269e-12,3.0161e-10,1.0979e-07,-1911724,2097152,8.196e+10,1.5149e+11,5.2206e+10,3146,2.8565e+11
37,4,0,21900,365,5.0269e-12,3.0161e-10,1.1009e-07,-1911557,2097152,8.2077e+10,1.516e+11,5.1862e+10,3274.3,2.8554e+11
37,5,0,21960,366,5.0269e-12,3.0161e-10,1.1039e-07,-1911386,2097152,8.2335e+10,1.5172e+11,5.131e+10,3359.8,2.8536e+11
37,6,0,22020,367,5.0269e-12,3.0161e-10,1.1069e-07,-1911227,2097152,8.2673e+10,1.5183e+11,5.0671e+10,3407.5,2.8517e+11
37,7,0,22080,368,5.0269e-12,3.0161e-10,1.1099e-07,-1911088,2097152,8.3045e+10,1.5193e+11,5.0012e+10,3443.3,2.8499e+11
37,8,0,22140,369,5.0269e-12,3.0161e-10,1.113e-07,-1910916,2097152,8.3405e+10,1.5204e+11,4.9127e+10,3465,2.8457e+11
37,9,0,22200,370,5.0269e-12,3.0161e-10,1.116e-07,-1910751,2097152,8.3735e+10,1.5214e+11,4.8296e+10,3471.8,2.8417e+11
38,0,0,22260,371,5.0269e-12,3.0161e-10,1.119e-07,-1910601,2097152,8.4024e+10,1.5223e+11,4.7901e+10,3498.4,2.8416e+11
38,1,0,22320,372,5.0269e-12,3.0161e-10,1.122e-07,-1910433,2097152,8.4285e+10,1.5232e+11,4.7415e+10,3487.6,2.8402e+11
38,2,0,22380,373,5.0269e-12,3.0161e-10,1.125e-07,-1910239,2097152,8.4524e+10,1.5241e+11,4.6974e+10,3488.7,2.8391e+11
38,3,0,22440,374,5.0269e-12,3.0161e-10,1.128e-07,-1910049,2097152,8.4754e+10,1.5249e+11,4.6488e+10,3494.9,2.8373e+11
38,4,0,22500,375,5.0269e-12,3.0161e-10,1.131e-07,-1909862,2097152,8.497e+10,1.5257e+11,4.6085e+10,3502.6,2.8363e+11
38,5,0,22560,376,5.0269e-12,3.0161e-10,1.1341e-07,-1909693,2097152,8.5162e+10,1.5265e+11,4.569e+10,3498.4,2.835e+11
38,6,0,22620,377,5.0269e-12,3.0161e-10,1.1371e-07,-1909521,2097152,8.5299e+10,1.5273e+11,4.5427e+10,3526.4,2.8346e+11
38,7,0,22680,378,5.0269e-12,3.0161e-10,1.1401e-07,-1909330,2097152,8.5344e+10,1.5281e+11,4.5236e+10,3521.2,2.8339e+11
38,8,0,22740,379,5.0269e-12,3.0161e-10,1.1431e-07,-1909155,2097152,8.5278e+10,1.5289e+11,4.5245e+10,3483.4,2.8341e+11
38,9,0,22800,380,5.0269e-12,3.0161e-10,1.1461e-07,-1908987,2097152,8.5089e+10,1.5297e+11,4.5539e+10,3401.2,2.836e+11
39,0,0,22860,381,5.0269e-12,3.0161e-10,1.1491e-07,-1908806,2097152,8.4797e+10,1.5306e+11,4.5991e+10,3335.4,2.8385e+11
39,1,0,22920,382,5.0269e-12,3.0161e-10,1.1522e-07,-1908612,2097152,8.4409e+10,1.5315e+11,4.6537e+10,3238.1,2.8409e+11
